1 5 41.2571 495.079
1 10 42.5409 524.843
1 20 39.7113 496.694
1 50 25.5997 559.077
1 100 23.9588 813.428
2 5 58.294 509.898
2 10 59.7653 486.436
2 20 58.5518 488.025
2 50 39.6284 549.323
2 100 35.4926 759.772
3 5 72.0528 457.85
3 10 71.2172 467.354
3 20 74.1249 506.203
3 50 54.8386 553.008
3 100 47.1258 767.831
4 5 43.2922 464.407
4 10 45.2253 472.408
4 20 43.7762 460.146
4 50 39.3537 547.45
4 100 39.1458 818.418
5 5 58.1038 473.609
5 10 58.4028 471.555
5 20 57.5245 481.87
5 50 50.3847 549.063
5 100 49.8532 763.947
6 5 71.7712 476.072
6 10 70.8954 472.188
6 20 71.519 493.101
6 50 62.2792 550.774
6 100 61.5062 841.236
7 5 74.0293 548.502
7 10 74.0052 528.134
7 20 74.102 528.725
7 50 68.815 608.421
7 100 67.6494 877.335



