50 102.999 0.751
100 104.425 1.4201
150 110.49 2.1455
200 142.397 2.8444
250 116.379 3.4995
300 171.635 3.7353
350 131.896 4.4249
400 155.006 5.7464
450 113.072 6.8298
500 163.236 7.0785
550 130.801 7.6519
600 164.941 8.032
650 125.089 8.9772
700 133.76 10.0514
750 184.944 11.3336
800 116.813 11.8059
850 146.936 12.3979
900 153.182 13.1749
950 130.681 14.0556
1000 131.536 14.2804
1050 146.44 15.0517
1100 150.537 17.9868
1150 128.716 17.6133
1200 179.528 18.0665
1250 148.586 19.9343
1300 142.24 21.4252
1350 153.245 23.0445
1400 140.015 22.9567
1450 141.071 24.6821
1500 145.122 26.3002
1550 144.522 27.3815
1600 133.815 28.0006
1650 155.582 28.045
1700 159.952 30.848
1750 147.658 29.2203
1800 152.177 32.4325
1850 193.854 32.5157
1900 148.473 35.1753
1950 142.284 35.2096
